ID Transaksi;Tanggal;Bulan;Tahun;Usia Pembeli;Gender;Berat Barang (gr);Berapa Kali Transaksi;Waktu Pengiriman (Hari);Ongkos Kirim
8668;26;1;2024;52;P;572;11;9;10000
2403;23;5;2022;36;L;316;1;8;10000
1873;18;12;2022;26;L;143;9;5;20000
7811;3;12;2022;64;L;496;5;7;10000
4619;2;9;2024;48;P;101;7;11;40000
3647;7;12;2024;54;P;785;18;10;30000
6011;4;6;2024;23;L;962;8;13;50000
6034;28;11;2024;56;L;267;10;13;10000
326;21;7;2023;33;L;412;5;8;50000
3403;12;3;2022;44;P;404;14;8;10000
4240;25;10;2023;48;L;397;17;4;10000
7875;6;4;2022;72;L;331;5;13;40000
7233;30;11;2023;78;L;334;11;1;40000
6568;12;1;2022;52;P;789;18;2;10000
5375;7;4;2022;55;L;315;1;8;20000
1132;19;6;2022;66;P;471;18;4;30000
9306;24;7;2023;48;P;422;8;6;10000
6356;31;3;2022;69;L;903;11;1;50000
2705;5;3;2023;79;P;920;4;1;50000
4224;6;5;2024;55;L;878;9;12;40000
3512;27;3;2023;45;L;655;8;10;50000
3997;14;12;2023;60;P;206;11;7;20000
1401;30;2;2024;61;P;610;10;1;40000
765;28;6;2023;37;P;155;13;7;30000
3013;14;6;2024;72;L;670;20;13;30000
9814;6;10;2022;73;L;765;14;11;10000
2841;11;4;2024;69;L;120;4;6;10000
4443;20;7;2023;72;L;671;16;4;10000
4582;25;7;2024;35;P;687;3;4;50000
7808;26;7;2024;21;P;513;9;13;40000
4210;2;10;2023;41;P;439;12;14;10000
7227;14;1;2022;62;P;408;5;7;20000
6759;4;11;2023;47;P;783;4;4;40000
9624;3;10;2022;45;P;281;12;11;50000
6378;4;3;2023;75;L;230;2;12;50000
2654;3;2;2024;73;P;358;4;4;50000
7542;26;2;2023;55;L;23;5;3;40000
2559;25;12;2022;59;L;982;6;3;30000
2000;2;10;2023;66;P;447;6;14;30000
2573;22;9;2023;57;P;799;12;12;20000
3950;16;3;2022;43;P;713;13;5;40000
7982;1;1;2022;26;L;307;12;4;20000
5666;5;5;2022;67;L;176;19;11;30000
3789;19;5;2022;72;P;203;6;2;40000
1632;14;6;2024;33;P;760;7;11;40000
9351;28;11;2023;60;L;35;1;14;20000
6046;7;10;2024;61;L;145;15;5;40000
2398;23;12;2024;39;P;85;12;3;40000
4227;18;5;2024;49;P;657;17;3;10000
6691;29;3;2024;41;P;673;10;12;40000
7635;8;3;2024;27;P;583;8;3;40000
8366;5;1;2024;50;L;157;4;5;30000
3050;4;11;2022;66;P;521;1;13;50000
5697;5;8;2024;71;L;895;20;9;50000
4168;12;3;2024;49;P;17;2;7;20000
9954;28;11;2023;69;P;27;11;10;50000
3665;13;12;2022;30;L;544;19;6;50000
4120;7;7;2023;56;P;165;7;12;50000
8588;7;8;2023;48;P;370;5;11;10000
1579;26;3;2024;66;P;604;16;14;40000
29;31;7;2024;57;P;823;10;8;50000
2945;21;9;2022;29;L;337;5;8;10000
3342;16;4;2023;58;L;109;10;1;10000
2367;17;10;2022;22;L;978;11;6;50000
3324;26;10;2024;53;L;729;18;6;50000
723;14;12;2024;25;P;847;3;11;10000
8384;25;9;2023;59;P;578;17;2;50000
5428;25;7;2022;21;L;599;2;6;40000
5658;26;4;2023;53;P;366;8;11;10000
8519;31;10;2024;38;L;335;1;7;40000
1039;22;1;2023;60;P;764;7;13;20000
3703;14;9;2024;34;L;94;20;11;30000
6868;30;5;2024;29;P;282;16;4;30000
5348;24;8;2024;53;L;964;10;11;10000
7282;27;2;2024;27;P;23;3;14;10000
5301;19;6;2024;63;P;672;10;8;20000
9273;17;7;2024;23;P;279;14;9;40000
3049;10;7;2024;37;L;101;3;1;10000
269;19;12;2024;47;P;595;18;3;40000
995;20;3;2024;30;L;523;5;9;20000
9056;8;8;2023;77;P;654;15;14;10000
1729;21;1;2024;29;L;863;7;14;40000
3969;30;6;2022;57;L;496;10;10;50000
9798;20;3;2024;35;P;656;6;2;50000
7692;10;5;2022;50;P;510;13;9;30000
5186;20;4;2024;69;L;865;19;6;30000
5489;12;5;2024;21;P;851;8;1;50000
1476;21;4;2022;54;L;233;16;12;10000
3658;10;4;2023;29;P;776;12;5;10000
275;22;11;2022;79;L;893;19;8;30000
6231;26;12;2023;45;L;737;20;7;40000
1007;18;7;2024;66;P;411;7;4;50000
5524;13;12;2023;73;L;729;5;9;20000
6023;24;10;2022;31;P;882;10;8;20000
2253;9;7;2022;30;P;340;10;4;30000
5027;26;12;2024;46;L;214;7;12;10000
3728;16;11;2022;26;P;115;16;11;40000
698;19;12;2024;64;L;320;16;6;40000
8103;26;7;2023;72;P;885;11;9;20000
1820;24;7;2024;75;L;690;1;13;40000
3943;15;7;2023;46;P;232;13;11;10000
4700;17;3;2024;42;P;738;5;2;30000
2437;16;7;2022;57;L;240;1;5;50000
8639;30;1;2024;65;L;251;15;1;10000
6187;14;2;2023;32;L;921;8;11;10000
1153;19;7;2024;31;L;757;10;7;30000
7385;8;9;2023;35;P;257;7;6;10000
880;23;9;2023;67;P;576;12;13;50000
6075;27;6;2024;24;L;631;12;6;20000
404;11;8;2022;31;L;556;15;3;50000
8903;19;7;2024;55;L;909;8;2;40000
2978;15;11;2024;29;L;109;10;5;30000
8272;31;3;2024;21;P;424;19;9;10000
350;16;5;2022;79;P;206;11;11;30000
8116;29;3;2024;77;L;563;14;2;30000
8163;18;11;2022;43;P;217;6;14;20000
6456;27;7;2024;66;P;872;20;2;50000
1338;21;4;2023;76;L;306;16;9;20000
7241;6;2;2024;67;P;630;20;9;50000
9028;28;10;2022;45;L;441;13;7;50000
4183;25;6;2022;55;P;607;5;13;10000
811;22;3;2023;58;L;360;4;1;40000
1439;15;7;2022;69;L;708;20;11;40000
7830;7;4;2022;34;P;723;1;13;40000
5782;22;8;2023;63;L;207;7;7;10000
5808;25;12;2024;76;L;59;17;4;30000
4832;4;8;2024;24;L;584;17;10;10000
7109;9;6;2024;76;P;664;4;1;20000
5277;10;5;2023;63;P;21;19;2;50000
6811;22;7;2023;72;L;925;12;12;30000
9884;14;2;2022;77;P;640;6;11;40000
7379;25;1;2023;74;P;189;7;6;30000
2188;9;3;2022;35;L;251;10;4;40000
9221;1;8;2022;72;L;956;12;5;30000
8005;13;1;2023;35;L;885;16;7;20000
1628;29;1;2023;80;P;953;8;6;30000
3133;14;7;2024;39;P;157;8;12;20000
29;16;10;2023;31;L;413;9;11;50000
3017;13;12;2024;70;P;864;19;3;20000
4957;19;10;2022;66;P;472;12;1;40000
5641;24;12;2023;24;P;281;5;3;20000
5397;18;1;2024;64;P;161;12;14;30000
1682;17;5;2024;27;L;899;10;13;30000
5473;10;9;2023;30;P;867;16;11;30000
5377;8;10;2024;59;P;154;17;2;40000
2602;19;4;2024;79;P;368;15;4;20000
7261;21;3;2022;32;L;899;14;7;40000
7524;28;11;2022;61;L;709;2;4;50000
2985;31;12;2023;49;L;38;13;9;30000
9624;27;2;2024;22;L;308;15;2;40000
3295;29;9;2023;25;L;994;10;4;20000
9638;2;7;2022;66;P;263;20;14;30000
3309;22;4;2023;28;L;412;11;13;30000
5170;11;10;2022;56;P;782;13;8;40000
4201;14;8;2023;55;L;815;11;10;40000
8724;1;10;2024;57;P;933;6;6;20000
8091;19;6;2022;70;L;603;11;3;50000
4565;25;12;2023;72;P;618;12;7;30000
5463;4;9;2023;50;P;670;16;12;20000
8142;5;8;2023;22;L;511;19;8;20000
1427;11;9;2023;65;L;873;12;14;50000
2198;26;8;2023;21;L;53;3;9;30000
9491;17;4;2023;49;L;465;3;10;20000
6447;16;11;2024;48;P;68;20;8;30000
4678;14;5;2024;70;L;664;14;12;10000
2273;3;10;2022;21;P;524;8;13;40000
1899;9;3;2023;42;P;194;9;12;40000
7969;1;10;2023;27;P;167;18;10;50000
808;16;2;2023;46;L;233;12;2;50000
1210;2;7;2022;43;L;475;17;4;30000
7417;24;11;2024;33;L;142;7;3;10000
5330;17;8;2022;68;L;55;19;2;10000
759;11;1;2023;45;P;84;10;6;40000
3410;24;12;2024;25;P;376;16;13;40000
7485;19;12;2023;52;P;160;8;9;30000
302;14;12;2023;73;L;771;19;8;40000
4298;23;7;2024;70;P;440;12;5;10000
9594;14;9;2023;22;L;894;8;13;30000
7724;31;12;2024;33;P;170;5;14;40000
2628;1;3;2024;26;L;179;19;5;50000
5900;20;12;2023;31;P;343;5;8;40000
2821;3;8;2024;32;L;750;1;10;20000
1600;17;7;2022;27;P;258;3;1;10000
1279;7;7;2022;73;L;72;14;2;40000
4378;26;8;2023;31;P;767;16;11;20000
62;15;6;2023;56;L;306;7;2;50000
438;1;10;2024;78;P;848;9;5;50000
3707;4;4;2023;71;L;182;11;4;30000
6492;25;11;2024;43;P;908;1;3;20000
5281;24;3;2022;53;P;616;13;6;30000
66;30;10;2022;63;L;769;19;14;40000
7754;4;3;2022;33;P;883;13;3;30000
2161;2;11;2024;62;P;750;2;1;10000
9999;18;4;2022;23;P;115;6;5;50000
3386;16;1;2024;46;P;386;19;3;40000
4447;1;4;2023;61;L;374;7;10;40000
3759;27;12;2024;45;L;802;7;1;50000
352;23;12;2022;80;L;987;4;11;30000
3324;26;4;2023;79;P;115;1;7;40000
6245;9;12;2024;48;L;554;1;3;10000
672;23;6;2024;49;P;715;14;14;20000
8855;20;11;2023;72;L;226;8;14;40000
4496;1;2;2022;50;P;688;20;4;20000
8584;27;8;2022;32;L;119;5;14;50000
7726;20;4;2022;37;L;694;17;11;50000
319;18;8;2022;38;P;901;13;8;10000
8262;24;8;2022;24;P;321;18;10;10000
3069;30;11;2024;31;P;658;6;4;40000
9934;30;3;2024;62;P;174;20;3;30000
8218;31;8;2023;41;P;934;3;9;30000
4262;5;12;2024;69;L;641;19;2;40000
8555;21;7;2022;71;P;595;19;13;10000
8567;12;8;2023;39;P;359;20;11;40000
5371;29;1;2022;53;L;906;4;11;10000
349;24;2;2022;46;L;618;19;3;30000
6609;31;2;2023;65;L;637;2;14;10000
740;9;4;2024;50;L;551;17;11;10000
5364;12;1;2022;22;L;441;13;8;20000
9296;3;2;2022;52;P;501;3;7;50000
8929;19;5;2022;62;L;449;11;4;50000
7744;13;2;2023;48;P;390;7;14;20000
6523;12;6;2022;22;L;780;4;13;50000
26;30;10;2022;61;P;846;12;4;20000
9623;18;3;2022;70;P;360;15;3;20000
4212;21;6;2024;27;L;444;11;10;50000
8757;28;6;2023;38;L;259;9;5;40000
4853;27;5;2023;43;P;655;18;14;40000
1953;3;3;2023;24;P;245;4;7;10000
3138;26;12;2022;73;L;6;20;12;40000
2900;12;6;2022;51;L;695;10;7;20000
2434;10;12;2022;30;P;632;7;10;10000
731;22;12;2023;53;P;543;7;2;30000
3322;13;8;2023;62;L;283;15;14;50000
7617;21;7;2023;49;P;172;15;6;30000
8727;25;11;2023;61;P;714;8;4;50000
7131;1;7;2022;40;P;981;5;1;30000
4246;31;5;2022;36;P;504;8;14;50000
8804;12;9;2022;49;L;103;12;2;30000
1080;31;11;2022;37;L;256;17;13;30000
8099;28;4;2022;34;L;466;13;8;30000
5720;17;9;2023;29;P;189;7;4;50000
9475;19;12;2024;31;P;148;5;14;20000
1162;19;6;2022;72;L;779;10;8;40000
4808;17;8;2024;56;P;396;9;9;10000
9267;30;9;2024;40;P;723;2;4;40000
2704;8;10;2022;58;L;159;8;13;20000
6145;24;1;2023;53;L;556;9;14;10000
5454;2;5;2022;35;P;194;11;13;30000
5269;18;9;2022;70;P;500;4;12;50000
2649;5;5;2022;31;L;189;9;12;20000
6013;28;12;2022;23;L;199;13;3;40000
1726;20;7;2023;40;L;523;2;4;30000
1849;25;5;2024;39;P;340;1;5;20000
3018;19;1;2022;25;L;21;17;4;30000
3888;23;5;2023;45;L;126;18;3;20000
6457;28;6;2023;64;L;500;18;11;10000
831;23;10;2022;23;L;469;11;7;20000
2147;8;2;2023;39;P;593;15;3;40000
7920;1;12;2023;39;P;600;10;9;30000
3683;2;1;2024;51;P;967;1;13;10000
5109;7;4;2023;67;P;166;18;10;40000
8118;23;1;2022;42;L;641;12;2;10000
3368;20;5;2022;56;L;64;16;2;30000
5453;6;8;2022;76;L;819;14;10;50000
6678;21;9;2024;77;P;256;8;1;50000
3494;30;9;2023;65;P;703;9;6;10000
2801;23;9;2022;55;L;892;9;2;20000
1148;24;1;2022;35;P;529;9;2;40000
2621;17;5;2024;58;L;391;4;14;30000
8397;25;1;2022;28;L;519;12;2;10000
4507;18;12;2022;71;P;113;8;7;50000
9333;29;9;2023;70;L;60;6;1;30000
5258;6;10;2024;58;L;308;20;6;20000
208;25;11;2022;66;L;292;2;3;50000
9203;12;10;2022;26;L;914;10;8;10000
2021;24;1;2023;58;P;351;4;14;30000
3707;9;10;2024;27;P;157;1;14;30000
827;12;9;2024;72;L;810;20;13;30000
4846;26;8;2024;73;L;347;20;4;10000
5980;24;7;2024;45;L;547;12;10;50000
535;27;5;2023;43;P;698;10;10;50000
3863;8;5;2024;53;L;891;3;11;30000
3098;6;9;2023;30;L;88;7;3;40000
9436;26;11;2022;29;P;83;2;11;20000
7121;8;2;2022;44;L;687;10;7;30000
2530;2;2;2023;79;P;989;4;1;10000
9987;6;4;2022;75;L;869;12;10;30000
5885;19;6;2023;46;P;690;18;12;30000
8987;22;11;2024;55;P;201;8;10;30000
4094;25;3;2024;23;L;696;4;7;20000
3363;21;10;2023;45;P;167;20;12;10000
304;22;7;2024;52;P;931;20;11;50000
294;25;11;2023;46;P;423;11;7;40000
920;16;6;2022;71;P;732;2;5;50000
2844;20;4;2022;50;P;423;3;8;20000
7840;31;7;2024;79;L;371;2;2;40000
5675;7;10;2022;47;L;759;10;7;10000
7373;12;12;2022;46;P;598;11;5;10000
8465;6;2;2022;74;P;662;11;14;50000
8633;11;4;2024;47;L;499;8;12;50000
2618;6;5;2024;29;L;217;10;8;20000
2901;10;3;2023;67;L;82;12;2;10000
9844;6;11;2024;34;L;530;3;3;30000
2000;12;2;2024;58;P;622;18;4;30000
1539;26;8;2022;60;L;392;2;13;30000
4552;26;10;2024;78;P;459;1;3;50000
9615;26;3;2024;42;P;740;6;7;30000
6545;31;3;2022;44;L;792;15;5;50000
4857;26;8;2024;59;P;370;18;12;10000
7026;7;5;2023;61;L;807;10;1;30000
2098;3;9;2024;50;L;263;15;11;20000
1680;11;2;2022;80;P;296;15;2;50000
3267;7;10;2023;72;P;974;18;12;40000
5152;14;3;2023;29;L;986;18;7;20000
4730;21;10;2022;41;L;544;10;14;20000
7653;24;8;2023;26;P;407;15;2;50000
6478;22;7;2023;59;L;925;5;14;10000
1821;18;12;2023;69;L;725;1;3;40000
4918;11;5;2024;30;P;300;20;2;20000
4671;15;7;2024;39;L;221;4;11;40000
7048;10;11;2022;40;P;292;2;4;30000
6597;12;4;2022;41;L;741;3;4;50000
8909;25;3;2023;79;P;772;15;6;20000
4094;3;10;2024;53;P;834;7;8;10000
3319;27;5;2022;74;P;545;14;8;30000
4679;8;10;2024;48;P;459;11;4;10000
2965;26;9;2022;51;P;490;4;4;40000
3656;21;3;2023;25;P;927;11;14;20000
6814;25;4;2023;43;L;513;10;10;10000
45;30;4;2023;70;P;349;16;12;40000
8948;29;5;2023;32;P;241;1;5;40000
3385;5;8;2023;39;P;190;6;14;40000
7783;10;11;2024;46;P;57;20;5;40000
5189;4;10;2022;50;L;956;7;6;40000
2679;24;4;2024;59;P;478;16;7;10000
9790;19;5;2023;21;L;41;13;6;40000
4268;20;1;2022;78;P;308;17;5;20000
5075;3;4;2024;56;P;796;11;2;40000
374;12;10;2022;78;L;177;11;10;20000
3164;31;4;2023;21;P;633;11;10;40000
1619;21;7;2024;79;P;252;18;6;40000
3748;24;11;2024;69;P;504;15;9;10000
1653;22;1;2024;45;P;276;3;5;30000
8587;29;5;2023;27;P;133;6;4;50000
8351;31;10;2023;38;P;926;6;13;50000
3745;28;12;2022;35;P;555;9;8;10000
6013;28;12;2024;51;L;967;6;5;10000
4272;9;6;2023;66;L;406;15;1;50000
3007;19;8;2023;36;P;434;4;2;10000
3136;3;2;2022;23;L;534;18;10;50000
9255;12;2;2022;55;L;569;19;2;50000
4104;2;3;2023;71;P;772;2;6;20000
7551;23;4;2023;58;P;430;9;5;10000
1212;22;2;2024;32;P;18;6;14;30000
1917;2;9;2023;28;L;974;1;13;20000
903;16;10;2024;64;L;398;7;7;40000
2262;8;12;2024;78;L;943;16;7;50000
4110;2;8;2024;23;L;45;10;7;10000
8266;7;1;2022;72;L;660;2;4;50000
7724;6;9;2023;65;P;557;4;9;10000
1080;26;7;2022;71;P;795;15;13;30000
1824;30;7;2024;57;P;399;19;5;10000
5435;16;12;2023;40;P;692;10;1;10000
1763;3;10;2023;75;L;867;14;14;10000
3322;24;2;2024;43;L;852;12;10;20000
5102;19;3;2024;26;P;803;8;7;50000
9788;30;11;2024;68;P;943;8;11;50000
6448;2;4;2022;76;L;238;14;6;10000
1825;11;12;2022;34;P;959;16;1;40000
9010;13;8;2022;64;L;885;3;14;50000
911;19;7;2022;56;P;478;5;11;50000
6817;1;5;2024;46;P;498;13;9;30000
6887;26;10;2024;64;L;807;7;14;30000
352;20;9;2023;26;L;857;19;8;40000
7309;30;2;2023;39;L;436;14;3;20000
4839;15;11;2023;63;P;704;8;5;50000
6160;14;12;2022;31;P;495;8;12;10000
4238;27;9;2023;47;L;759;10;12;40000
9428;8;9;2023;48;P;808;18;4;30000
8589;20;11;2024;33;L;357;18;5;30000
1551;22;4;2024;77;L;401;15;1;50000
9122;2;7;2023;69;L;907;10;11;30000
6032;17;4;2024;63;L;607;8;3;40000
2823;23;7;2024;46;L;223;8;2;10000
4097;15;6;2023;70;P;685;4;3;30000
6142;11;3;2022;27;P;749;13;5;40000
8790;10;9;2022;37;P;981;1;7;10000
6516;22;7;2023;66;L;999;17;9;40000
5105;14;5;2022;59;L;868;2;14;30000
7049;27;4;2023;59;P;876;7;14;40000
6066;31;1;2024;24;L;563;13;7;20000
6646;26;2;2022;61;P;142;17;14;30000
7333;25;6;2023;41;P;154;18;3;40000
3538;13;5;2024;61;P;829;17;10;40000
7036;15;4;2024;49;P;969;5;1;10000
906;6;4;2022;73;P;136;8;7;50000
4443;27;7;2024;24;L;451;17;8;40000
31;1;7;2024;55;P;728;15;9;20000
5360;25;12;2022;46;P;758;1;14;30000
7154;11;2;2022;24;P;611;7;10;40000
2891;8;5;2023;53;P;674;14;12;20000
7465;23;12;2022;39;L;227;1;8;50000
990;12;4;2023;61;P;478;15;7;30000
5032;21;10;2024;72;L;108;4;11;30000
5544;20;5;2024;50;P;43;6;11;10000
9323;17;1;2023;40;L;667;10;5;50000
3020;12;6;2023;36;P;38;13;3;10000
4582;30;9;2024;54;P;486;7;14;30000
94;21;3;2024;60;P;150;7;7;40000
2724;12;9;2022;53;P;354;8;2;50000
5081;14;1;2022;64;L;566;4;4;10000
8329;4;9;2024;21;P;696;11;14;10000
3222;30;9;2022;65;L;488;13;8;40000
125;8;1;2024;42;L;825;17;5;10000
3225;28;11;2024;22;L;333;2;12;20000
7107;13;5;2022;42;L;800;10;2;10000
8349;15;6;2023;24;L;638;6;9;20000
4791;27;4;2023;67;P;119;18;4;40000
1537;3;9;2023;45;P;311;20;6;40000
976;25;9;2023;24;P;188;17;3;30000
6353;2;2;2024;36;L;651;3;3;40000
3553;19;4;2024;66;P;346;9;11;40000
3649;12;2;2022;67;L;527;3;2;30000
1976;13;3;2023;29;L;292;2;5;30000
8624;13;9;2023;64;P;475;17;11;50000
2336;12;6;2023;23;L;704;16;14;50000
6639;7;1;2023;41;L;409;4;14;20000
6261;20;8;2022;26;L;963;10;13;40000
1492;12;12;2023;22;L;793;12;12;30000
4404;5;1;2023;64;L;891;15;12;30000
7131;24;1;2022;30;P;601;15;11;20000
6082;6;9;2023;66;L;743;9;7;20000
3203;24;12;2022;61;L;860;19;8;10000
115;19;1;2022;30;L;794;14;8;30000
4888;30;3;2022;73;L;176;16;10;50000
7792;10;6;2024;69;P;146;4;14;20000
9684;26;11;2022;33;L;842;7;9;10000
503;24;11;2024;72;P;472;2;5;30000
6756;31;10;2023;24;L;773;11;11;50000
532;4;3;2022;39;P;374;13;1;40000
6247;10;6;2023;75;P;843;12;11;50000
7147;29;4;2022;32;P;46;19;9;30000
7665;3;6;2023;57;L;971;18;11;50000
8186;1;10;2023;68;L;919;10;1;40000
2300;18;1;2023;56;L;639;18;11;20000
8773;4;11;2024;41;P;780;18;1;20000
8182;2;4;2024;23;L;268;19;11;30000
8273;20;12;2024;54;L;681;13;10;20000
2669;15;11;2023;68;L;674;4;1;10000
8525;6;5;2024;27;L;740;18;4;40000
1971;31;6;2024;57;P;319;3;1;10000
8876;15;6;2023;71;P;640;4;3;30000
8968;15;11;2024;34;L;70;16;2;20000
8580;15;6;2024;53;L;527;8;12;20000
7655;31;5;2022;44;L;352;13;5;20000
1430;16;9;2022;42;P;310;11;11;40000
108;27;3;2024;41;P;499;8;12;30000
5078;14;12;2024;49;L;103;7;13;50000
6434;27;4;2022;30;L;269;5;8;20000
3430;10;9;2024;49;L;741;10;8;10000
9730;6;8;2024;77;P;285;19;4;40000
1005;8;10;2022;79;P;601;1;10;50000
26;10;10;2023;74;P;915;1;5;50000
6110;19;9;2023;62;L;260;20;4;10000
1855;23;3;2023;55;P;687;1;4;40000
3006;29;4;2022;75;L;293;2;14;40000
3323;26;5;2023;75;P;944;10;4;10000
9235;31;2;2023;36;L;284;10;5;50000
4974;9;9;2022;54;L;827;4;11;50000
1200;1;12;2023;54;P;523;6;5;10000
7766;15;4;2022;69;P;555;6;11;50000
6697;15;9;2023;41;L;818;12;13;10000
5636;6;4;2024;50;P;472;5;7;50000
8229;22;6;2022;45;P;808;6;8;40000
4889;8;4;2024;65;P;178;7;11;10000
2899;1;10;2024;27;L;90;15;12;30000
1031;23;9;2022;64;P;161;18;12;20000
6991;15;1;2023;69;L;407;12;12;20000
198;30;11;2023;41;L;301;11;10;20000
5758;18;3;2023;22;P;570;17;4;10000
4886;31;12;2024;25;P;668;20;13;10000
2551;26;11;2023;64;L;380;19;12;30000
1225;28;3;2024;63;P;854;9;12;40000
7219;2;12;2024;69;L;925;5;13;20000
2058;10;6;2023;41;L;105;1;10;20000
6801;27;6;2022;63;P;35;17;13;20000
9;7;8;2022;25;L;5;10;3;10000
4493;13;5;2022;57;P;144;18;10;20000
3872;19;10;2024;38;L;167;19;8;50000
9446;22;1;2023;30;L;713;3;1;50000
5143;3;2;2022;44;L;469;1;6;10000
1574;31;9;2023;72;L;814;16;4;50000
5421;31;4;2023;63;L;463;13;6;20000
9771;9;1;2024;40;L;788;20;3;40000
4810;2;5;2023;35;P;992;13;1;10000
2888;20;5;2023;65;P;276;3;12;20000
3237;29;12;2024;73;L;22;14;8;50000
9236;12;8;2023;79;L;344;15;2;10000
1790;15;2;2022;36;P;306;18;3;10000
8784;11;2;2022;47;P;953;6;3;20000
2880;1;1;2022;46;L;806;18;14;30000
7643;7;7;2024;65;P;495;15;2;40000
4473;23;12;2024;71;L;90;9;12;20000
3745;17;5;2022;56;L;742;9;10;10000
9016;21;11;2022;69;P;41;19;7;40000
2581;15;12;2022;22;P;135;20;3;30000
7224;16;2;2024;46;L;179;4;4;30000
5003;19;5;2022;73;L;131;15;5;30000
1243;29;3;2022;42;P;657;14;2;40000
8473;20;5;2022;58;L;458;6;5;10000
6057;9;2;2023;60;L;73;15;4;50000
7837;17;10;2024;70;P;106;20;14;30000
7362;25;6;2024;68;L;519;16;5;10000
1308;24;1;2022;38;P;858;17;14;50000
8984;25;7;2024;28;L;98;11;6;40000
1727;15;2;2022;80;P;471;1;1;10000
9424;23;3;2022;54;L;158;9;14;20000
4227;20;2;2024;55;L;71;10;13;20000
4757;25;3;2022;24;P;731;3;3;10000
8605;22;8;2022;55;L;335;13;11;10000
7602;4;5;2023;35;L;905;13;13;40000
7270;31;10;2024;51;L;661;12;10;20000
609;17;9;2023;50;L;943;17;10;40000
245;21;6;2023;74;L;172;11;14;30000
2337;22;7;2023;54;L;994;6;4;40000
4278;8;7;2023;66;P;343;8;9;50000
3168;3;8;2023;61;L;197;9;9;40000
9203;23;3;2023;80;P;123;13;12;50000
7431;21;1;2023;26;L;933;11;14;20000
4325;10;5;2023;80;P;346;6;14;40000
4706;19;4;2022;56;P;385;5;2;10000
378;31;5;2024;49;L;123;13;3;40000
2447;25;6;2024;40;P;303;2;2;30000
4532;12;11;2024;29;P;444;11;9;50000
6579;25;5;2024;58;P;882;1;4;50000
7235;30;1;2024;65;L;870;19;7;50000
6988;3;9;2024;58;P;757;2;5;10000
8498;10;4;2023;23;P;779;15;4;10000
9253;4;7;2023;45;L;620;18;14;40000
2503;2;1;2023;61;L;686;3;8;50000
983;1;6;2022;24;L;649;16;8;20000
4927;19;3;2023;76;P;467;13;3;10000
5771;11;11;2023;25;P;503;19;5;10000
8901;29;6;2022;32;L;640;16;6;30000
462;3;7;2024;28;P;964;7;13;20000
713;31;2;2023;28;P;482;6;7;40000
8333;25;8;2024;63;P;45;13;7;20000
4393;21;3;2022;75;L;713;4;12;30000
2947;17;9;2022;25;L;303;9;7;10000
4193;17;2;2022;43;L;110;11;4;30000
3920;14;8;2022;74;P;577;19;4;30000
9720;5;12;2023;61;L;978;9;10;50000
2889;5;9;2023;35;L;177;20;8;20000
3952;10;4;2023;48;L;883;9;4;30000
2854;25;8;2022;62;P;76;5;11;50000
7775;8;6;2022;45;P;710;3;1;40000
986;4;7;2024;58;P;871;13;12;10000
5465;13;2;2024;79;P;171;1;1;10000
4266;27;11;2024;55;P;641;7;4;10000
7579;1;6;2023;77;L;799;17;14;20000
7827;16;3;2024;35;L;151;3;12;10000
9385;15;11;2023;53;L;458;13;10;10000
8618;8;1;2022;52;P;868;13;5;10000
3915;31;2;2024;65;P;15;11;7;50000
6045;6;2;2022;79;L;449;10;10;10000
4076;23;11;2023;68;L;983;5;10;40000
9488;30;11;2022;21;P;717;7;10;40000
6416;20;4;2022;21;L;369;5;11;40000
9019;5;6;2023;59;L;999;18;3;10000
6497;27;6;2024;53;P;932;7;1;30000
2392;11;6;2023;25;P;767;2;4;40000
889;29;1;2023;42;P;846;9;7;50000
4595;6;11;2024;76;L;462;5;12;10000
1094;18;5;2022;72;L;929;19;5;50000
8376;30;10;2022;36;L;232;15;6;50000
1579;14;12;2023;68;L;672;13;11;50000
4670;30;3;2024;53;P;800;4;2;10000
5504;15;11;2022;69;L;248;3;6;20000
8286;19;6;2023;41;L;536;3;6;20000
6770;26;3;2024;43;L;128;18;8;30000
4981;14;10;2023;72;L;992;9;12;20000
5763;24;11;2023;79;L;588;2;12;10000
2376;27;4;2022;38;P;365;1;1;30000
5000;12;3;2024;51;P;95;10;14;50000
6746;2;6;2024;52;P;239;3;13;40000
9553;28;4;2024;60;P;866;15;3;20000
5397;2;1;2022;48;L;510;17;1;20000
5322;28;12;2024;25;P;976;18;9;20000
2718;18;11;2022;51;P;669;20;3;10000
6192;3;8;2022;53;P;131;12;6;50000
8900;20;2;2024;55;L;742;16;7;30000
5285;17;12;2022;52;L;604;9;2;20000
9247;12;2;2024;51;P;304;19;3;40000
8313;7;11;2022;58;P;959;12;2;30000
8873;9;6;2022;51;P;886;13;9;40000
7456;25;12;2024;49;P;497;11;2;20000
9473;17;12;2023;32;P;932;13;10;20000
9968;29;4;2023;53;L;529;17;2;50000
8311;4;4;2023;59;L;876;1;6;50000
3557;21;4;2023;45;L;244;2;13;40000
5214;31;3;2022;62;P;219;13;5;50000
2038;25;3;2022;52;P;615;9;2;10000
4998;18;7;2023;45;P;151;7;2;20000
5678;31;2;2023;78;P;650;11;12;40000
9785;8;1;2022;37;L;710;17;10;40000
7093;22;3;2022;80;L;266;12;5;10000
9383;20;1;2023;59;P;950;11;13;20000
